                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.099,                 1.4222,                 1.1128,                0.78414,                0.82652,                0.87442,                0.47598,                 1.4347,                 1.3987,                 1.3921,             0.00054477,             0.00054477,             0.00054477
                      2,                 1.0043,                0.95113,                   1.11,                0.70644,                0.75608,                0.75402,                0.56079,                0.95232,                 1.0397,                 1.1319,              0.0010959,              0.0010959,              0.0010959
                      3,                 1.0216,                0.89013,                 1.1504,                0.75329,                0.74916,                0.78882,                0.58033,                0.92659,                 1.0143,                  1.114,              0.0016424,              0.0016424,              0.0016424
                      4,                0.88962,                 0.7865,                 1.0609,                0.77429,                0.90174,                0.90853,                0.71455,                0.80019,                0.69848,                 1.0456,              0.0016464,              0.0016464,              0.0016464
                      5,                0.91211,                0.76711,                  1.079,                0.78522,                0.90057,                0.92679,                0.79191,                0.59473,                0.62746,                0.93379,              0.0016395,              0.0016395,              0.0016395
                      6,                0.87115,                0.69724,                  1.069,                0.79226,                0.88328,                0.92352,                0.78994,                0.60396,                0.77463,                0.94047,              0.0016326,              0.0016326,              0.0016326
                      7,                 0.8334,                0.68082,                 1.0425,                0.67512,                0.93408,                0.91544,                0.77752,                0.62405,                0.93413,                0.95003,              0.0016257,              0.0016257,              0.0016257
                      8,                0.80522,                0.64366,                 1.0426,                0.87026,                  0.904,                0.95506,                0.82875,                0.55947,                0.54082,                0.91867,              0.0016189,              0.0016189,              0.0016189
                      9,                0.77587,                0.62734,                 1.0173,                0.86131,                0.87906,                0.94461,                0.83387,                0.52262,                0.53885,                0.90332,               0.001612,               0.001612,               0.001612
                     10,                0.79771,                0.61193,                 1.0204,                0.83614,                 0.8874,                0.93536,                0.78967,                0.59579,                0.58191,                  0.941,              0.0016051,              0.0016051,              0.0016051
                     11,                0.77904,                0.62495,                 1.0143,                0.88872,                0.89734,                0.94818,                0.81215,                0.58407,                0.51515,                0.93173,              0.0015982,              0.0015982,              0.0015982
                     12,                0.79007,                0.62201,                  1.031,                0.86388,                0.88911,                0.94469,                0.82657,                0.53739,                0.50137,                0.90402,              0.0015914,              0.0015914,              0.0015914
                     13,                0.75516,                0.60317,                 1.0043,                 0.8605,                0.90525,                0.94543,                0.81268,                0.58574,                0.50715,                0.93319,              0.0015845,              0.0015845,              0.0015845
                     14,                0.75648,                0.59687,                 1.0115,                 0.8485,                0.88696,                0.93239,                0.81328,                 0.5594,                0.54406,                0.91571,              0.0015776,              0.0015776,              0.0015776
                     15,                0.72646,                 0.5505,                0.98975,                0.86347,                0.88362,                0.92919,                0.80213,                0.56929,                0.52208,                0.92198,              0.0015707,              0.0015707,              0.0015707
                     16,                0.76631,                0.56002,                 1.0125,                0.80813,                0.89969,                0.93278,                0.81279,                0.53969,                 0.5603,                0.90364,              0.0015639,              0.0015639,              0.0015639
                     17,                0.74723,                 0.5551,                 1.0014,                0.88824,                0.89299,                0.95518,                0.81672,                0.59639,                0.48636,                0.93263,               0.001557,               0.001557,               0.001557
