                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5594,                 4.2327,                  1.498,                  0.421,                0.58112,                0.37713,                0.25969,                 1.0822,                    inf,                  1.163,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.2128,                 1.9928,                 1.2047,                0.46244,                0.78277,                0.49973,                0.36379,                 1.0372,                    inf,                 1.1813,             0.00031542,             0.00031542,             0.00031542
                      3,                 1.1556,                 1.2518,                 1.1317,                0.55436,                 0.7232,                0.61525,                0.43091,                 1.1412,                  2.467,                 1.2233,             0.00047944,             0.00047944,             0.00047944
                      4,                 1.1765,                 1.1568,                 1.0781,                0.36178,                0.51324,                0.38299,                0.27077,                 1.1353,                 2.4121,                 1.1789,             0.00064208,             0.00064208,             0.00064208
                      5,                 1.1148,                 1.0559,                 1.0747,                0.58739,                0.69616,                0.58788,                0.43197,                 1.1351,                 1.8229,                 1.0827,             0.00080335,             0.00080335,             0.00080335
                      6,                 1.0842,                0.99695,                 1.0633,                0.23145,                0.25111,                0.14275,                0.10012,                 2.0264,                    inf,                 1.7289,             0.00096324,             0.00096324,             0.00096324
                      7,                 1.1028,                 1.1339,                 1.0999,                0.14985,                0.26324,                0.11904,                 0.0687,                 2.0906,                 3.2207,                 1.5775,              0.0011218,              0.0011218,              0.0011218
                      8,                 1.1043,                0.99958,                 1.0842,                0.10261,                0.14618,                0.06249,                0.03209,                 2.9855,                  2.796,                 1.8395,              0.0012789,              0.0012789,              0.0012789
                      9,                 1.1264,                0.99527,                 1.0579,                0.22261,                0.20125,                0.13286,                0.07986,                 3.1164,                 2.8327,                  1.771,              0.0014347,              0.0014347,              0.0014347
                     10,                  1.044,                0.99058,                 1.0768,                0.43403,                0.52343,                0.47264,                0.25693,                 1.9874,                 2.1141,                  1.389,              0.0015891,              0.0015891,              0.0015891
                     11,                 1.0461,                0.99466,                 1.0489,                0.60822,                0.30777,                0.48495,                0.29044,                 1.8458,                  2.253,                 1.3264,              0.0015982,              0.0015982,              0.0015982
                     12,                 1.0933,                0.92449,                 1.0771,                0.65735,                0.35248,                0.46973,                0.32802,                  1.395,                 1.8096,                 1.1896,              0.0015914,              0.0015914,              0.0015914
                     13,                 1.0732,                0.90065,                 1.0671,                 0.6001,                0.60563,                0.57841,                0.42796,                 1.1977,                 1.4631,                 1.1409,              0.0015845,              0.0015845,              0.0015845
                     14,                 1.0275,                0.96547,                 1.0699,                0.61782,                0.75628,                0.64012,                0.48849,                0.99762,                 1.4616,                 1.1098,              0.0015776,              0.0015776,              0.0015776
                     15,                 1.0886,                0.93625,                 1.0609,                0.68871,                0.78137,                0.66648,                 0.5163,                0.97659,                 1.0995,                 1.0982,              0.0015707,              0.0015707,              0.0015707
                     16,                 1.0233,                0.83827,                 1.0548,                0.81967,                 0.8301,                0.83974,                 0.6434,                0.92996,                0.84867,                 1.0666,              0.0015639,              0.0015639,              0.0015639
