                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5306,                 3.8258,                 1.4452,                0.07015,                0.11647,                0.04399,                0.02765,                 1.0696,                    inf,                 1.1729,             0.00030006,             0.00030006,             0.00030006
                      2,                 1.2441,                 3.3796,                 1.1854,                0.12559,                0.22286,                0.08722,                0.05872,                 1.1024,                    inf,                 1.2182,             0.00059237,             0.00059237,             0.00059237
                      3,                  1.239,                 2.9658,                 1.1283,                0.14951,                0.25898,                0.15872,                0.10591,                 1.1917,                 3.4857,                 1.2541,             0.00085959,             0.00085959,             0.00085959
                      4,                  1.273,                 2.6355,                 1.1232,                0.38651,                0.67442,                0.41015,                0.27546,                 1.3198,                 2.7467,                 1.1705,              0.0011017,              0.0011017,              0.0011017
                      5,                 1.2337,                 2.4672,                 1.0968,                0.40966,                0.71727,                0.42397,                0.28153,                 1.3555,                 2.5642,                 1.1686,              0.0013188,              0.0013188,              0.0013188
                      6,                 1.2053,                  2.366,                 1.0661,                0.35275,                0.61294,                0.38026,                0.23109,                 1.4853,                  2.993,                 1.2449,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.1767,                  2.125,                 1.0834,                  0.407,                0.69984,                0.45661,                0.27833,                 1.5165,                 2.5491,                 1.1839,              0.0012709,              0.0012709,              0.0012709
                      8,                 1.1462,                 2.0567,                 1.0663,                0.52069,                0.78676,                0.55309,                0.37817,                 1.2748,                 1.6259,                 1.0639,              0.0012049,              0.0012049,              0.0012049
                      9,                 1.1989,                 1.9163,                 1.1242,                0.49888,                0.84661,                0.56554,                0.39657,                 1.2397,                 1.5997,                 1.0622,              0.0011389,              0.0011389,              0.0011389
                     10,                 1.1786,                 1.9033,                 1.0694,                0.49559,                0.85709,                0.53626,                0.38707,                 1.1776,                 1.7202,                 1.0357,              0.0010729,              0.0010729,              0.0010729
                     11,                 1.1626,                 1.8211,                 1.0665,                0.49238,                0.85323,                0.54708,                0.40177,                 1.1454,                 1.7649,                 1.0189,              0.0010069,              0.0010069,              0.0010069
                     12,                  1.133,                 1.7184,                 1.0492,                0.50516,                0.85924,                0.62258,                0.45948,                 1.1126,                 1.5705,                 1.0221,             0.00094085,             0.00094085,             0.00094085
                     13,                 1.1682,                 1.7289,                 1.0577,                0.68389,                0.82285,                0.74495,                0.55998,                 1.0317,                 1.2885,                  1.048,             0.00087484,             0.00087484,             0.00087484
                     14,                 1.1103,                 1.5956,                 1.0668,                0.69008,                 0.8397,                0.75844,                 0.5662,                  1.042,                 1.2494,                 1.0329,             0.00080883,             0.00080883,             0.00080883
                     15,                  1.152,                 1.5689,                 1.0854,                0.69407,                0.83119,                0.76165,                0.57323,                 1.0348,                 1.2323,                  1.035,             0.00074282,             0.00074282,             0.00074282
                     16,                 1.0927,                 1.3815,                 1.0533,                0.70922,                0.82549,                0.77475,                0.58084,                 1.0353,                 1.1865,                 1.0677,              0.0006768,              0.0006768,              0.0006768
                     17,                 1.0267,                 1.2925,                 1.0426,                 0.7282,                0.84078,                0.80051,                0.60641,                 1.0182,                  1.119,                 1.0714,             0.00061079,             0.00061079,             0.00061079
                     18,                 1.0766,                 1.3225,                 1.1105,                0.73575,                0.83159,                0.78803,                0.60843,                0.99597,                 1.0784,                 1.1126,             0.00054478,             0.00054478,             0.00054478
                     19,                 1.0622,                 1.3443,                 1.0539,                0.72647,                0.83401,                0.78983,                0.61177,                 0.9853,                 1.0436,                 1.1099,             0.00047876,             0.00047876,             0.00047876
                     20,                 1.0234,                 1.2841,                  1.067,                0.76604,                0.82329,                0.81433,                0.62775,                0.97674,                0.97825,                 1.1088,             0.00041275,             0.00041275,             0.00041275
                     21,                 1.0128,                  1.272,                 1.0477,                0.78139,                  0.823,                 0.8262,                 0.6358,                0.96919,                0.94967,                 1.1046,             0.00034674,             0.00034674,             0.00034674
                     22,                 1.0212,                 1.2723,                 1.0529,                0.77962,                0.83199,                0.83114,                0.64159,                0.96545,                0.94778,                 1.1066,             0.00028072,             0.00028072,             0.00028072
                     23,                  1.005,                 1.2428,                  1.059,                0.78946,                0.82568,                 0.8292,                0.64008,                0.97166,                0.95943,                 1.1094,             0.00021471,             0.00021471,             0.00021471
                     24,                 1.0163,                 1.2175,                 1.0456,                 0.7975,                0.82867,                0.83918,                0.64821,                0.96895,                0.95743,                 1.1013,              0.0001487,              0.0001487,              0.0001487
                     25,                 1.0177,                 1.2431,                 1.0469,                0.79843,                0.83338,                0.84242,                0.65152,                0.96496,                0.96234,                 1.0979,             8.2683e-05,             8.2683e-05,             8.2683e-05
