                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80969,                0.52871,                 1.0093,                0.94554,                0.92375,                0.95989,                0.78785,                0.80353,                0.40805,                 1.0269,             0.00015003,             0.00015003,             0.00015003
                      2,                0.79094,                0.43696,                0.97376,                0.89913,                0.90686,                0.93684,                0.75448,                0.89535,                0.53934,                 1.0706,             0.00030889,             0.00030889,             0.00030889
                      3,                0.85593,                0.53518,                 1.0118,                0.90935,                0.90641,                 0.9363,                  0.754,                0.87898,                0.51987,                  1.069,              0.0004595,              0.0004595,              0.0004595
                      4,                0.86154,                0.52687,                 1.0066,                0.83727,                0.84705,                0.88649,                 0.6717,                 1.0729,                0.74153,                  1.189,             0.00060186,             0.00060186,             0.00060186
                      5,                0.86844,                0.50178,                 1.0128,                0.89047,                0.88121,                 0.9069,                0.72165,                0.91586,                 0.5717,                 1.0909,             0.00073596,             0.00073596,             0.00073596
                      6,                0.85921,                0.49431,                 1.0054,                0.88958,                0.90206,                0.92681,                0.75558,                0.83137,                0.52163,                 1.0514,             0.00086182,             0.00086182,             0.00086182
                      7,                0.88058,                0.54514,                 1.0773,                0.85625,                0.86671,                0.89608,                0.73453,                0.83111,                0.63328,                 1.0518,             0.00097942,             0.00097942,             0.00097942
                      8,                0.87196,                0.53233,                 1.0242,                0.89512,                0.88444,                0.91882,                0.74133,                0.84629,                0.58242,                 1.0542,              0.0010888,              0.0010888,              0.0010888
                      9,                0.84953,                0.53624,                0.99149,                0.75529,                0.82446,                0.80027,                0.64959,                0.83346,                 0.9086,                 1.0536,              0.0011899,              0.0011899,              0.0011899
                     10,                0.84949,                0.58469,                 1.0297,                0.85656,                0.87214,                0.89982,                 0.7147,                0.90522,                0.59305,                 1.0923,              0.0012827,              0.0012827,              0.0012827
                     11,                0.87859,                0.61699,                  1.008,                0.89811,                0.88416,                0.92435,                 0.7396,                 0.8853,                0.53067,                 1.0761,              0.0012544,              0.0012544,              0.0012544
                     12,                0.90997,                0.54552,                 1.0301,                0.89394,                0.90129,                0.93467,                 0.7469,                0.89375,                0.55779,                 1.0758,              0.0012132,              0.0012132,              0.0012132
                     13,                0.89473,                0.54349,                 1.0279,                0.90604,                0.90294,                0.93276,                0.73967,                0.90512,                0.57445,                   1.09,              0.0011719,              0.0011719,              0.0011719
                     14,                0.86482,                0.60357,                 1.0296,                0.91215,                0.90494,                0.94181,                0.75209,                0.87874,                0.50785,                 1.0678,              0.0011306,              0.0011306,              0.0011306
                     15,                0.93358,                0.63237,                 1.0187,                0.90606,                  0.905,                 0.9427,                0.76881,                0.82406,                0.52826,                 1.0415,              0.0010894,              0.0010894,              0.0010894
                     16,                0.85946,                0.56222,                 1.0301,                0.89588,                0.89051,                 0.9359,                0.76605,                0.80969,                0.49612,                 1.0338,              0.0010481,              0.0010481,              0.0010481
                     17,                0.85772,                0.59718,                 1.0114,                0.92668,                0.90138,                0.95016,                0.77433,                0.82403,                0.46159,                 1.0426,              0.0010069,              0.0010069,              0.0010069
                     18,                 1.0549,                 1.2967,                  1.236,                0.92372,                 0.9059,                0.94903,                 0.7819,                0.79733,                 0.4601,                 1.0253,             0.00096561,             0.00096561,             0.00096561
                     19,                0.84678,                0.49595,                0.98897,                0.93405,                0.91174,                0.95279,                0.78164,                0.81581,                0.45425,                 1.0356,             0.00092435,             0.00092435,             0.00092435
                     20,                0.84853,                0.51266,                0.99967,                0.92506,                0.90874,                0.94929,                0.77934,                0.80457,                0.46228,                 1.0328,             0.00088309,             0.00088309,             0.00088309
                     21,                0.83666,                0.52442,                 1.0102,                0.92414,                0.90723,                0.94988,                0.77216,                0.81473,                 0.4537,                 1.0318,             0.00084184,             0.00084184,             0.00084184
                     22,                0.85909,                0.50379,                0.98695,                0.91392,                0.90795,                0.95571,                0.77611,                0.79999,                0.45264,                 1.0269,             0.00080058,             0.00080058,             0.00080058
                     23,                0.84023,                0.48742,                0.99856,                 0.8854,                0.89877,                0.95261,                0.77978,                 0.7925,                0.47935,                  1.022,             0.00075932,             0.00075932,             0.00075932
                     24,                0.85055,                0.48781,                0.97541,                0.86277,                0.88021,                0.94119,                0.77161,                0.80972,                0.52942,                 1.0325,             0.00071806,             0.00071806,             0.00071806
                     25,                0.83847,                0.49177,                 1.0139,                0.92274,                0.90868,                0.95272,                0.77935,                0.82604,                0.45588,                 1.0362,              0.0006768,              0.0006768,              0.0006768
                     26,                0.83977,                0.48981,                 0.9819,                0.94056,                0.91988,                0.95434,                0.79071,                0.79069,                0.40848,                 1.0192,             0.00063554,             0.00063554,             0.00063554
                     27,                 0.8654,                0.54386,                 1.0469,                0.94228,                0.92494,                0.96006,                0.79259,                0.79861,                 0.3926,                 1.0251,             0.00059429,             0.00059429,             0.00059429
                     28,                 0.8331,                0.48805,                 1.0303,                0.93965,                0.92091,                0.96126,                0.79266,                0.79949,                0.40082,                 1.0253,             0.00055303,             0.00055303,             0.00055303
                     29,                0.78581,                0.46667,                0.96961,                 0.9195,                0.92093,                0.95947,                0.79187,                0.78803,                 0.4167,                 1.0207,             0.00051177,             0.00051177,             0.00051177
                     30,                0.82942,                0.47541,                0.95491,                0.93024,                0.91779,                0.96256,                0.79062,                0.79208,                0.42022,                 1.0222,             0.00047051,             0.00047051,             0.00047051
                     31,                0.83282,                0.51668,                 1.0111,                0.93673,                0.92307,                0.96273,                0.78733,                0.80557,                 0.4142,                 1.0248,             0.00042925,             0.00042925,             0.00042925
                     32,                0.82796,                0.49671,                 1.0534,                0.94393,                0.92447,                0.96281,                0.79055,                 0.7968,                 0.4039,                 1.0204,             0.00038799,             0.00038799,             0.00038799
                     33,                0.85859,                0.51989,                 1.0647,                0.95485,                 0.9254,                0.96327,                0.79755,                0.77826,                 0.3886,                 1.0131,             0.00034674,             0.00034674,             0.00034674
                     34,                0.80004,                0.42956,                 1.0153,                0.96406,                0.92883,                0.96528,                0.80544,                0.76268,                0.36526,                 1.0061,             0.00030548,             0.00030548,             0.00030548
                     35,                0.86471,                0.58825,                   1.07,                0.96748,                0.92977,                0.96658,                0.80554,                0.76182,                0.35931,                 1.0051,             0.00026422,             0.00026422,             0.00026422
                     36,                0.84456,                0.57082,                 1.0426,                0.96659,                0.93099,                0.96751,                0.80505,                0.76541,                0.35825,                 1.0057,             0.00022296,             0.00022296,             0.00022296
                     37,                0.79053,                0.42123,                 1.0121,                0.96777,                0.93219,                0.96777,                0.80578,                0.76551,                0.35588,                 1.0049,              0.0001817,              0.0001817,              0.0001817
                     38,                 0.7889,                0.43371,                 0.9854,                0.97112,                0.93553,                0.96918,                0.80965,                0.75964,                0.34829,                 1.0027,             0.00014044,             0.00014044,             0.00014044
                     39,                0.78114,                0.41463,                0.99754,                0.97192,                0.93621,                0.96968,                0.80983,                0.75833,                0.34692,                 1.0019,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     40,                0.76085,                0.39474,                0.99233,                0.97143,                0.93777,                0.96996,                0.81003,                0.75718,                0.34564,                 1.0015,             5.7928e-05,             5.7928e-05,             5.7928e-05
