                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4628,                 3.3792,                 1.4931,                0.79843,                0.33125,                0.32054,                0.21381,                 1.0059,                    inf,                  1.198,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.1341,                 1.2734,                 1.2025,                 0.4548,                0.72583,                0.51396,                0.37554,                 1.0107,                    inf,                 1.1723,             0.00031542,             0.00031542,             0.00031542
                      3,                 1.1233,                 1.1507,                 1.1825,                0.66552,                0.33611,                0.35515,                0.17696,                 2.2576,                    inf,                 1.8146,             0.00047944,             0.00047944,             0.00047944
                      4,                 1.0947,                 1.0071,                 1.1417,                0.40789,                0.13292,                0.24403,                0.18048,                 3.2261,                    inf,                 2.8498,             0.00064208,             0.00064208,             0.00064208
                      5,                 1.1408,                 1.0002,                 1.1597,                  0.009,                0.02649,                0.00474,                0.00143,                 4.1342,                    inf,                 4.8445,             0.00080335,             0.00080335,             0.00080335
                      6,                 1.0507,                0.94972,                 1.1282,                0.41343,                0.42693,                0.37477,                0.29755,                 2.0218,                    inf,                 1.9499,             0.00096324,             0.00096324,             0.00096324
                      7,                 1.1002,                 1.0318,                 1.2026,                0.39388,                0.39639,                0.33202,                0.23606,                 2.2165,                    inf,                 2.0499,              0.0011218,              0.0011218,              0.0011218
                      8,                 1.1249,                0.93959,                 1.1569,                0.31204,                0.35358,                0.21112,                0.16162,                 1.6615,                    inf,                   1.63,              0.0012789,              0.0012789,              0.0012789
                      9,                 1.0488,                0.94677,                 1.1092,                0.50091,                0.61537,                 0.4417,                0.34284,                 1.1842,                    inf,                  1.387,              0.0014347,              0.0014347,              0.0014347
                     10,                 1.0216,                0.96999,                 1.1523,                0.44268,                0.01702,                0.22539,                0.17503,                 4.3101,                    inf,                 4.9342,              0.0015891,              0.0015891,              0.0015891
                     11,                 1.0505,                0.91549,                 1.1067,                0.50828,                0.33179,                0.35177,                0.29067,                 1.8001,                    inf,                 1.7179,              0.0015982,              0.0015982,              0.0015982
                     12,                 1.0534,                0.83586,                 1.1159,                0.56796,                0.67318,                0.51551,                0.40934,                0.99058,                    inf,                 1.1814,              0.0015914,              0.0015914,              0.0015914
                     13,                  1.049,                0.83469,                 1.1191,                0.61723,                0.74026,                0.61143,                 0.4403,                 1.0749,                 1.4567,                 1.2224,              0.0015845,              0.0015845,              0.0015845
                     14,                 1.0081,                0.91757,                 1.1234,                0.59774,                0.81414,                0.64886,                0.49468,                  1.037,                    inf,                 1.1844,              0.0015776,              0.0015776,              0.0015776
                     15,                 1.1273,                0.90054,                 1.1097,                0.61476,                0.85339,                 0.6812,                0.52699,                0.96071,                 1.6423,                 1.1458,              0.0015707,              0.0015707,              0.0015707
                     16,                  1.031,                0.84603,                 1.1234,                0.61217,                0.72991,                0.60148,                0.45515,                 1.0246,                 1.7382,                 1.2008,              0.0015639,              0.0015639,              0.0015639
                     17,                 1.0368,                0.93492,                 1.1162,                0.67721,                0.75735,                0.67551,                0.51027,                 1.0836,                 1.1885,                 1.2268,               0.001557,               0.001557,               0.001557
                     18,                 1.1938,                 1.3585,                  1.308,                 0.7526,                0.78759,                0.72844,                0.56791,                0.95654,                0.88745,                 1.1103,              0.0015501,              0.0015501,              0.0015501
                     19,                 1.0084,                0.79571,                 1.0654,                0.71106,                0.78589,                0.70643,                 0.5488,                0.97911,                 1.0217,                 1.1423,              0.0015432,              0.0015432,              0.0015432
                     20,                0.97436,                0.75883,                  1.074,                0.72244,                0.82563,                0.74771,                0.57845,                0.93531,                0.91303,                 1.1206,              0.0015363,              0.0015363,              0.0015363
                     21,                0.96239,                0.80866,                 1.0888,                0.81118,                0.84625,                  0.854,                0.64922,                0.98972,                0.85151,                 1.1434,              0.0015295,              0.0015295,              0.0015295
                     22,                0.96888,                0.73595,                 1.0517,                0.72807,                0.81134,                0.74571,                0.56475,                0.96277,                0.88855,                 1.1753,              0.0015226,              0.0015226,              0.0015226
                     23,                0.95372,                0.72728,                 1.0697,                0.65575,                0.78705,                0.70218,                0.53418,                0.96979,                 1.0054,                 1.1848,              0.0015157,              0.0015157,              0.0015157
                     24,                0.96033,                0.72611,                 1.0403,                0.82038,                0.85543,                0.86297,                0.67674,                0.90015,                 0.7215,                 1.1044,              0.0015088,              0.0015088,              0.0015088
                     25,                0.93602,                0.72401,                 1.0727,                0.84653,                0.85674,                0.87756,                0.69194,                0.91441,                0.69775,                 1.1002,               0.001502,               0.001502,               0.001502
                     26,                0.94527,                0.70446,                 1.0379,                0.83613,                0.86266,                 0.8774,                0.69432,                0.88359,                0.65449,                 1.0872,              0.0014951,              0.0014951,              0.0014951
                     27,                0.98364,                0.83288,                 1.1152,                0.86631,                0.87356,                0.89021,                 0.7066,                0.89885,                0.64278,                  1.093,              0.0014882,              0.0014882,              0.0014882
                     28,                0.95305,                0.75324,                 1.0958,                0.86199,                0.86948,                0.88447,                0.69219,                0.92166,                0.66706,                    1.1,              0.0014813,              0.0014813,              0.0014813
                     29,                0.89784,                0.72301,                 1.0273,                0.78386,                0.83141,                0.86923,                0.68842,                0.91167,                0.74805,                 1.0957,              0.0014745,              0.0014745,              0.0014745
                     30,                0.95929,                 0.7223,                 1.0102,                0.81435,                0.87562,                0.88374,                0.69677,                0.93573,                0.67802,                 1.1137,              0.0014676,              0.0014676,              0.0014676
                     31,                0.93156,                0.70915,                 1.0543,                0.85443,                0.87804,                0.89033,                0.71444,                0.87109,                 0.6191,                 1.0755,              0.0014607,              0.0014607,              0.0014607
                     32,                 1.0173,                0.75604,                 1.1266,                0.86245,                0.87443,                0.89114,                0.69674,                0.93894,                0.62365,                 1.0982,              0.0014538,              0.0014538,              0.0014538
                     33,                0.94999,                0.70177,                 1.0565,                0.86253,                0.87444,                0.89427,                0.70888,                0.90931,                0.64077,                 1.0908,               0.001447,               0.001447,               0.001447
                     34,                 0.9624,                0.65717,                 1.0484,                0.87025,                0.88147,                0.89715,                0.69731,                0.96992,                0.61675,                 1.1124,              0.0014401,              0.0014401,              0.0014401
                     35,                0.99682,                0.72538,                 1.0843,                0.87216,                0.88533,                0.89875,                0.72472,                0.86555,                0.58367,                 1.0682,              0.0014332,              0.0014332,              0.0014332
                     36,                0.92458,                0.66337,                 1.0793,                0.86142,                0.88462,                0.90178,                0.72238,                0.87965,                0.59016,                 1.0718,              0.0014263,              0.0014263,              0.0014263
                     37,                0.94899,                0.68534,                 1.0655,                 0.8491,                 0.8872,                0.89973,                  0.727,                0.86961,                0.60096,                 1.0662,              0.0014195,              0.0014195,              0.0014195
                     38,                 1.0018,                0.67786,                 1.0679,                 0.8664,                0.87933,                0.88961,                0.71852,                0.87652,                0.62213,                 1.0653,              0.0014126,              0.0014126,              0.0014126
                     39,                0.99053,                0.71226,                 1.0774,                0.86522,                0.87663,                0.88599,                0.72151,                0.85921,                0.61641,                 1.0575,              0.0014057,              0.0014057,              0.0014057
                     40,                 0.9005,                 0.7098,                 1.0391,                0.86437,                0.88042,                0.88246,                 0.7178,                0.86678,                0.59953,                  1.061,              0.0013988,              0.0013988,              0.0013988
                     41,                0.90536,                0.68111,                 1.0198,                0.86844,                0.88591,                0.88569,                0.71597,                0.87863,                0.58219,                 1.0632,              0.0013919,              0.0013919,              0.0013919
                     42,                0.93137,                0.61651,                 1.0415,                0.83099,                0.88411,                0.88887,                0.72051,                0.88426,                0.61483,                 1.0796,              0.0013851,              0.0013851,              0.0013851
                     43,                0.92502,                0.63184,                 1.0744,                0.85308,                0.88421,                0.89679,                0.72419,                0.86912,                0.60422,                 1.0582,              0.0013782,              0.0013782,              0.0013782
                     44,                0.93247,                0.69621,                 1.0525,                0.58233,                0.89337,                0.82999,                0.66167,                0.91012,                 1.0287,                 1.1011,              0.0013713,              0.0013713,              0.0013713
                     45,                0.93872,                0.66952,                 1.0804,                0.79203,                0.86878,                 0.8989,                0.70994,                0.91945,                0.67324,                 1.0859,              0.0013644,              0.0013644,              0.0013644
                     46,                0.93664,                0.63961,                 1.0537,                0.87529,                0.88122,                0.89491,                0.72516,                0.86583,                0.61925,                 1.0582,              0.0013576,              0.0013576,              0.0013576
                     47,                0.93063,                0.68183,                 1.0245,                0.86622,                0.88617,                0.89922,                0.73077,                0.86114,                0.62008,                 1.0569,              0.0013507,              0.0013507,              0.0013507
                     48,                0.91797,                0.64891,                 1.0606,                0.87607,                0.88714,                0.90681,                0.73657,                 0.8465,                0.57588,                  1.052,              0.0013438,              0.0013438,              0.0013438
                     49,                 0.8963,                0.62649,                 1.0094,                0.86661,                0.87614,                0.90615,                0.72755,                0.86166,                0.56882,                 1.0607,              0.0013369,              0.0013369,              0.0013369
                     50,                0.97845,                0.73034,                 1.0688,                0.83046,                0.89656,                0.90296,                0.71834,                0.89285,                0.59136,                  1.073,              0.0013301,              0.0013301,              0.0013301
