                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4628,                 3.3792,                 1.4931,                0.79843,                0.33125,                0.32054,                0.21381,                 1.0059,                    inf,                  1.198,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.1335,                 1.2725,                 1.2023,                0.45111,                0.71651,                0.50542,                0.36969,                 1.0118,                    inf,                 1.1764,             0.00031225,             0.00031225,             0.00031225
                      3,                 1.1244,                 1.1545,                 1.1847,                0.50867,                0.35943,                 0.4212,                 0.2245,                 1.8815,                    inf,                 1.6268,             0.00046976,             0.00046976,             0.00046976
                      4,                  1.095,                 1.0073,                 1.1451,                0.41067,                0.15495,                0.24861,                0.17805,                 3.0711,                    inf,                  2.715,             0.00062255,             0.00062255,             0.00062255
                      5,                 1.1284,                0.97067,                 1.1591,                0.01411,                0.04155,                0.00767,                0.00194,                 3.7617,                    inf,                 3.4592,             0.00077062,             0.00077062,             0.00077062
                      6,                 1.0443,                 0.9518,                 1.1264,                0.46669,                0.45694,                0.37717,                0.28187,                 2.0252,                    inf,                 1.9685,             0.00091398,             0.00091398,             0.00091398
                      7,                 1.1006,                 1.0512,                 1.2133,                 0.5257,                 0.4362,                0.37259,                0.24172,                 2.1668,                    inf,                 1.8489,              0.0010526,              0.0010526,              0.0010526
                      8,                 1.0728,                0.92311,                 1.1404,                0.57617,                 0.5034,                0.43255,                0.34453,                 1.3676,                    inf,                 1.5381,              0.0011866,              0.0011866,              0.0011866
                      9,                 1.0286,                0.92285,                 1.1047,                0.57865,                0.45728,                 0.4018,                0.32416,                 1.3011,                    inf,                 1.6799,              0.0013158,              0.0013158,              0.0013158
                     10,                0.96289,                0.90889,                 1.1241,                0.51473,                0.50115,                 0.4344,                0.35362,                 1.6155,                    inf,                 2.4348,              0.0014403,              0.0014403,              0.0014403
                     11,                0.99112,                0.90042,                 1.0829,                0.47247,                0.19507,                0.28934,                0.23291,                  2.182,                    inf,                 5.0403,              0.0014312,              0.0014312,              0.0014312
                     12,                 1.0437,                0.90061,                 1.1185,                0.45753,                0.14582,                0.25204,                0.19949,                 1.9627,                    inf,                 2.8264,              0.0014077,              0.0014077,              0.0014077
                     13,                 1.0386,                0.86527,                  1.117,                0.00676,                 0.0199,                0.00357,                 0.0011,                 3.8213,                    inf,                 6.2187,              0.0013841,              0.0013841,              0.0013841
                     14,                 1.0262,                0.94794,                 1.1246,                0.64784,                0.77222,                0.67471,                0.50969,                 1.0041,                 1.1505,                 1.2001,              0.0013605,              0.0013605,              0.0013605
                     15,                 1.0636,                0.89537,                 1.0959,                 0.4661,                0.80267,                0.50178,                0.38173,                 1.0868,                  1.734,                 1.2665,              0.0013369,              0.0013369,              0.0013369
                     16,                 1.0085,                0.84284,                 1.1173,                0.77235,                0.73915,                0.75922,                0.58078,                 1.0018,                0.95435,                 1.1852,              0.0013134,              0.0013134,              0.0013134
                     17,                0.99654,                0.90597,                  1.102,                  0.356,                0.59793,                0.28161,                0.21879,                0.99728,                 1.3506,                  1.165,              0.0012898,              0.0012898,              0.0012898
                     18,                 1.2094,                 1.5225,                 1.3642,                0.25855,                0.49889,                0.21721,                0.17278,                 1.0116,                    inf,                 1.1623,              0.0012662,              0.0012662,              0.0012662
                     19,                 0.9659,                 0.7301,                 1.0609,                0.49597,                0.62506,                0.52429,                  0.425,                 1.0211,                    inf,                 1.2078,              0.0012426,              0.0012426,              0.0012426
                     20,                0.97049,                0.72605,                 1.0692,                0.57174,                0.68766,                 0.5845,                0.45889,                 1.0337,                    inf,                 1.1788,              0.0012191,              0.0012191,              0.0012191
                     21,                0.97535,                0.77476,                 1.0886,                0.66525,                0.78653,                0.73761,                0.55767,                 1.0265,                 1.0345,                 1.1721,              0.0011955,              0.0011955,              0.0011955
                     22,                0.97426,                0.72237,                 1.0523,                0.65324,                0.80446,                0.77481,                 0.5973,                 0.9553,                0.99584,                 1.1866,              0.0011719,              0.0011719,              0.0011719
                     23,                0.95991,                  0.723,                   1.07,                 0.7914,                 0.8234,                0.84916,                0.66213,                0.91366,                0.73303,                   1.13,              0.0011483,              0.0011483,              0.0011483
                     24,                 0.9639,                0.71077,                   1.04,                0.81835,                0.85494,                0.84732,                 0.6565,                 0.9084,                0.71157,                   1.11,              0.0011247,              0.0011247,              0.0011247
                     25,                0.94659,                0.72033,                 1.0832,                0.81962,                0.86527,                0.85129,                0.66944,                0.88502,                0.69151,                 1.0977,              0.0011012,              0.0011012,              0.0011012
                     26,                 0.9425,                  0.717,                 1.0411,                0.86478,                0.86995,                 0.8809,                0.71359,                0.86069,                0.62836,                 1.0732,              0.0010776,              0.0010776,              0.0010776
                     27,                0.96702,                0.78564,                 1.1053,                0.87016,                0.87285,                0.88743,                0.70133,                0.93349,                0.63408,                 1.1121,               0.001054,               0.001054,               0.001054
                     28,                0.93089,                0.71211,                 1.0909,                 0.8632,                0.88334,                0.89526,                0.70723,                0.91809,                0.60496,                 1.1029,              0.0010304,              0.0010304,              0.0010304
                     29,                0.85672,                0.69958,                 1.0166,                0.83929,                0.88627,                0.89592,                0.72045,                0.85463,                0.60892,                 1.0701,              0.0010069,              0.0010069,              0.0010069
                     30,                0.94261,                0.69049,                 1.0055,                0.86199,                0.88861,                0.89768,                0.72275,                0.87166,                0.60496,                 1.0689,             0.00098329,             0.00098329,             0.00098329
                     31,                0.89061,                0.69636,                 1.0403,                0.86417,                0.88419,                0.89565,                0.72197,                 0.8706,                0.59666,                 1.0696,             0.00095972,             0.00095972,             0.00095972
                     32,                0.99517,                0.77273,                 1.1263,                0.85239,                0.87387,                0.89077,                0.72075,                0.86648,                0.59852,                 1.0723,             0.00093614,             0.00093614,             0.00093614
                     33,                 0.8805,                0.65153,                 1.0386,                0.80565,                0.84547,                0.87251,                0.70836,                0.87144,                0.65819,                 1.0846,             0.00091256,             0.00091256,             0.00091256
                     34,                 0.9207,                0.62706,                 1.0356,                0.82219,                0.87074,                 0.8877,                0.71045,                  0.892,                0.62736,                 1.0875,             0.00088899,             0.00088899,             0.00088899
                     35,                0.95236,                0.67723,                 1.0632,                0.86341,                0.89482,                0.90351,                0.72605,                0.87142,                0.56818,                 1.0681,             0.00086541,             0.00086541,             0.00086541
                     36,                 0.9119,                0.64011,                 1.0758,                0.87012,                0.89377,                0.90809,                0.72725,                0.87351,                0.56534,                  1.071,             0.00084184,             0.00084184,             0.00084184
                     37,                0.92049,                0.66263,                 1.0584,                0.85271,                0.88827,                0.90528,                0.73002,                0.84579,                 0.5865,                 1.0582,             0.00081826,             0.00081826,             0.00081826
                     38,                 1.0013,                0.65192,                 1.0692,                0.87093,                0.88937,                0.91032,                0.73818,                  0.848,                0.56974,                 1.0549,             0.00079468,             0.00079468,             0.00079468
