                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5842,                 3.9404,                 1.4683,                0.42344,                0.60044,                0.42851,                0.29642,                 1.1428,                 2.3356,                 1.1987,             0.00030006,             0.00030006,             0.00030006
                      2,                  1.215,                 1.6882,                 1.1627,                0.45842,                0.74472,                0.45627,                0.32229,                 1.2477,                 1.7177,                 1.3026,             0.00060152,             0.00060152,             0.00060152
                      3,                 1.1574,                 1.1772,                 1.1198,                0.49889,                0.71699,                0.53347,                0.38385,                 1.1624,                 2.4314,                  1.208,             0.00088731,             0.00088731,             0.00088731
                      4,                 1.1764,                 1.1341,                 1.1254,                0.64644,                0.78632,                0.69856,                0.52614,                 1.0841,                 1.4031,                 1.1156,              0.0011574,              0.0011574,              0.0011574
                      5,                  1.147,                 1.0965,                 1.1231,                0.63779,                  0.862,                0.74496,                 0.5371,                 1.0959,                 1.6717,                 1.1536,              0.0014118,              0.0014118,              0.0014118
                      6,                 1.1336,                 1.1381,                 1.0876,                 0.5462,                 0.8312,                0.61105,                0.46201,                 1.0698,                  1.402,                 1.0971,              0.0014607,              0.0014607,              0.0014607
                      7,                 1.0676,                 1.0648,                 1.0946,                0.13081,                0.14102,                0.07747,                0.05912,                 1.7028,                    inf,                  1.659,              0.0014195,              0.0014195,              0.0014195
                      8,                   1.05,                 1.0243,                 1.0901,                0.40244,                0.62662,                0.38145,                0.30053,                 1.2021,                 2.1507,                 1.2387,              0.0013782,              0.0013782,              0.0013782
                      9,                 1.0689,                 1.0283,                 1.1319,                0.66496,                0.84132,                 0.8012,                0.58093,                 1.0436,                0.97884,                 1.1297,              0.0013369,              0.0013369,              0.0013369
                     10,                 1.0578,                0.94622,                 1.0688,                0.66639,                 0.8647,                0.81892,                0.62201,                0.99867,                0.93301,                 1.0932,              0.0012957,              0.0012957,              0.0012957
                     11,                 1.0322,                0.95189,                 1.0675,                0.62235,                0.83498,                0.79471,                 0.6011,                 1.0328,                 1.0758,                 1.0926,              0.0012544,              0.0012544,              0.0012544
                     12,                 1.0316,                0.91159,                 1.0651,                0.75418,                0.85012,                0.83337,                0.64315,                0.96357,                0.84698,                 1.0955,              0.0012132,              0.0012132,              0.0012132
