                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1255,                 2.1679,                 1.0079,                0.48028,                0.60859,                 0.6121,                 0.4605,                0.83521,                 2.0629,                0.90805,             0.00054477,             0.00054477,             0.00054477
                      2,                0.96713,                 1.2328,                0.96396,                0.54339,                0.84785,                0.66764,                0.44293,                 1.0865,                 1.4669,                0.95862,              0.0010959,              0.0010959,              0.0010959
                      3,                0.92482,                 1.0577,                0.95664,                0.70387,                0.81921,                0.80106,                0.64162,                0.68198,                0.97859,                0.86847,              0.0016424,              0.0016424,              0.0016424
                      4,                0.94154,                 1.0001,                0.95616,                0.66252,                0.83763,                0.81928,                0.66368,                0.72792,                 1.0087,                0.89468,              0.0016464,              0.0016464,              0.0016464
                      5,                0.91104,                 0.9624,                0.95667,                0.81538,                0.85066,                0.88901,                0.69097,                0.84555,                0.87014,                0.91739,              0.0016395,              0.0016395,              0.0016395
                      6,                0.88165,                0.90646,                0.94802,                0.82139,                0.87224,                0.92705,                0.77388,                0.63588,                0.77145,                0.86362,              0.0016326,              0.0016326,              0.0016326
                      7,                0.86206,                 0.8945,                0.93435,                0.72524,                0.92317,                0.87726,                0.74714,                0.58571,                0.81808,                0.85603,              0.0016257,              0.0016257,              0.0016257
                      8,                0.79631,                0.84246,                0.91899,                0.81806,                0.86327,                0.91894,                0.78385,                0.58978,                0.70546,                0.83987,              0.0016189,              0.0016189,              0.0016189
                      9,                0.78058,                  0.801,                0.90997,                0.81498,                 0.8828,                0.92519,                0.77652,                0.65776,                0.74427,                0.86016,               0.001612,               0.001612,               0.001612
                     10,                0.80054,                0.79535,                0.91484,                0.85478,                0.84844,                0.91744,                0.74779,                0.69404,                 0.7252,                0.87077,              0.0016051,              0.0016051,              0.0016051
                     11,                0.76194,                0.77246,                0.90195,                0.80624,                0.87284,                0.91668,                0.77752,                0.59266,                0.74813,                0.84455,              0.0015982,              0.0015982,              0.0015982
                     12,                0.76394,                0.74641,                0.90768,                0.80941,                0.84228,                0.92102,                0.77925,                0.59389,                0.74064,                0.84202,              0.0015914,              0.0015914,              0.0015914
                     13,                0.73801,                0.73562,                0.90131,                0.67251,                 0.9131,                0.85389,                0.73305,                 0.5836,                 1.0575,                0.84336,              0.0015845,              0.0015845,              0.0015845
                     14,                0.74337,                0.72939,                0.90057,                 0.8277,                0.89796,                0.93058,                0.80733,                0.56033,                0.63453,                0.83837,              0.0015776,              0.0015776,              0.0015776
                     15,                0.71937,                0.69752,                0.89472,                0.78915,                0.87957,                 0.9139,                0.78373,                0.57619,                0.70949,                0.84444,              0.0015707,              0.0015707,              0.0015707
                     16,                0.73217,                0.69757,                0.89685,                 0.8602,                0.86132,                0.93171,                0.81003,                0.55706,                0.60359,                0.83894,              0.0015639,              0.0015639,              0.0015639
                     17,                0.72485,                0.69129,                0.89772,                0.69836,                0.92605,                0.91782,                0.78272,                0.59172,                0.76941,                0.84474,               0.001557,               0.001557,               0.001557
                     18,                0.71912,                0.67404,                0.89379,                 0.8304,                0.90606,                0.94452,                0.74176,                 0.7955,                0.63147,                0.87837,              0.0015501,              0.0015501,              0.0015501
