                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.573,                 3.3233,                 1.5228,                0.40599,                0.70934,                0.38623,                0.27787,                 1.1493,                    inf,                 1.2025,             0.00030006,             0.00030006,             0.00030006
                      2,                 1.2738,                 1.4346,                  1.234,                0.14568,                0.24004,                0.10893,                0.07619,                 1.1585,                    inf,                 1.6081,             0.00060152,             0.00060152,             0.00060152
                      3,                 1.2764,                  1.154,                 1.2347,                0.00925,                0.01616,                0.00473,                0.00146,                    nan,                    nan,                    nan,             0.00088731,             0.00088731,             0.00088731
                      4,                 1.2409,                 1.1429,                 1.2617,                0.04015,                0.02141,                0.01469,                0.01173,                    nan,                    nan,                    nan,              0.0011574,              0.0011574,              0.0011574
                      5,                 1.1549,                 1.1949,                 1.2257,                0.00521,                0.00361,                0.00263,                0.00122,                    nan,                    nan,                    nan,              0.0014118,              0.0014118,              0.0014118
                      6,                 1.2289,                 1.1573,                 1.1915,                0.00543,                  0.016,                0.00282,                0.00105,                    nan,                    nan,                    nan,              0.0014607,              0.0014607,              0.0014607
                      7,                 1.2507,                 1.0954,                 1.2721,                0.00489,                0.01439,                0.00272,                0.00104,                    nan,                    nan,                    nan,              0.0014195,              0.0014195,              0.0014195
                      8,                 1.1457,                 1.0572,                 1.1996,                  2e-05,                  7e-05,                  1e-05,                      0,                    nan,                    nan,                    nan,              0.0013782,              0.0013782,              0.0013782
                      9,                 1.1224,                 1.0602,                 1.2353,                0.00685,                0.02017,                0.00356,                0.00123,                    nan,                    nan,                    nan,              0.0013369,              0.0013369,              0.0013369
                     10,                 1.1487,                 1.0495,                 1.1623,                0.01189,                0.03503,                0.00637,                0.00276,                    nan,                    nan,                    nan,              0.0012957,              0.0012957,              0.0012957
