                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5269,                 3.8407,                 1.4785,                0.01859,                0.03197,                0.01054,                 0.0048,                0.99757,                    inf,                 1.2232,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.2246,                 3.5901,                 1.2416,                0.06049,                0.10152,                0.03652,                0.02218,                 1.1222,                    inf,                 1.2096,             0.00031542,             0.00031542,             0.00031542
                      3,                 1.2241,                 3.1952,                 1.1621,                0.03588,                0.05626,                0.02385,                0.01512,                 1.1538,                    inf,                 1.2613,             0.00047944,             0.00047944,             0.00047944
                      4,                  1.199,                 2.8403,                 1.0972,                0.10112,                0.16707,                0.08216,                 0.0508,                 1.6168,                 3.9381,                 1.4782,             0.00064208,             0.00064208,             0.00064208
                      5,                 1.1987,                  2.525,                 1.0796,                0.33792,                0.54815,                0.33402,                0.17202,                 1.8946,                 3.2984,                 1.4597,             0.00080335,             0.00080335,             0.00080335
                      6,                 1.1775,                 2.2901,                 1.0511,                0.35637,                0.61766,                0.37193,                0.22388,                 1.7927,                 3.0398,                 1.3523,             0.00096324,             0.00096324,             0.00096324
                      7,                  1.223,                 2.1582,                  1.092,                0.34018,                0.60022,                0.36423,                0.20689,                 1.9891,                 2.8834,                 1.4011,              0.0011218,              0.0011218,              0.0011218
                      8,                 1.1955,                 1.9553,                 1.0779,                0.31363,                0.52316,                0.31656,                0.17934,                 2.0692,                 3.0207,                 1.5025,              0.0012789,              0.0012789,              0.0012789
                      9,                 1.2068,                 1.9928,                 1.0529,                0.34894,                0.31683,                0.23784,                 0.1368,                 2.4045,                 3.8018,                 1.8061,              0.0014347,              0.0014347,              0.0014347
                     10,                 1.1572,                 1.7339,                  1.075,                0.28428,                0.18017,                0.20657,                0.12419,                  3.159,                  3.909,                 2.2203,              0.0015891,              0.0015891,              0.0015891
                     11,                 1.1294,                 1.7555,                 1.0385,                 0.4009,                 0.3304,                0.31297,                0.20505,                 2.7759,                 3.1352,                 1.9515,              0.0015982,              0.0015982,              0.0015982
                     12,                 1.1495,                 1.5423,                 1.0533,                0.42794,                0.48639,                0.39419,                0.26374,                  2.313,                 2.6797,                  1.631,              0.0015914,              0.0015914,              0.0015914
                     13,                 1.1295,                 1.4317,                 1.0444,                0.43553,                0.40455,                0.34591,                0.26113,                 2.3303,                  4.042,                 1.7619,              0.0015845,              0.0015845,              0.0015845
                     14,                 1.1283,                  1.501,                 1.0696,                0.63672,                0.64829,                0.64161,                0.42204,                  1.373,                 1.8109,                 1.1035,              0.0015776,              0.0015776,              0.0015776
                     15,                 1.1852,                 1.5308,                 1.0509,                0.68708,                0.78906,                 0.7439,                0.52891,                  1.094,                 1.1942,                 1.0003,              0.0015707,              0.0015707,              0.0015707
                     16,                  1.072,                 1.2988,                  1.038,                0.65637,                0.77425,                0.72273,                0.50469,                 1.1115,                 1.2958,                 1.0243,              0.0015639,              0.0015639,              0.0015639
                     17,                 1.1152,                 1.4209,                 1.0502,                 0.6991,                 0.8175,                0.79188,                0.58206,                 1.0238,                 1.1207,                0.99699,               0.001557,               0.001557,               0.001557
                     18,                 1.2631,                 1.6943,                 1.2757,                0.69084,                0.79901,                0.78568,                0.59543,                0.99382,                 1.0605,                 1.0193,              0.0015501,              0.0015501,              0.0015501
                     19,                 1.0486,                 1.2149,                 1.0072,                0.75566,                0.80692,                0.78784,                0.61524,                0.93818,                0.95416,                0.99377,              0.0015432,              0.0015432,              0.0015432
                     20,                 1.0474,                 1.1988,                 1.0156,                 0.7365,                0.81649,                0.79797,                0.61368,                0.95725,                0.97247,                 1.0003,              0.0015363,              0.0015363,              0.0015363
                     21,                  1.061,                 1.2391,                 1.0295,                0.77195,                0.81761,                0.81159,                 0.6215,                0.95067,                0.99315,                 1.0224,              0.0015295,              0.0015295,              0.0015295
                     22,                 1.0776,                 1.2055,                 1.0086,                0.53685,                0.88453,                0.73275,                0.54962,                 1.0459,                 1.5217,                 1.0993,              0.0015226,              0.0015226,              0.0015226
                     23,                 1.0464,                 1.1508,                 1.0237,                0.53547,                0.87414,                0.57912,                0.44238,                 1.0031,                 2.0485,                 1.1061,              0.0015157,              0.0015157,              0.0015157
                     24,                 1.0701,                 1.1507,                 1.0088,                0.54401,                0.85534,                0.61293,                0.46568,                  1.003,                 1.9789,                 1.0871,              0.0015088,              0.0015088,              0.0015088
                     25,                 1.0349,                 1.1369,                 1.0319,                0.54086,                0.84042,                0.69839,                0.52235,                  1.032,                 1.6661,                 1.0888,               0.001502,               0.001502,               0.001502
                     26,                 1.0284,                 1.1319,                0.99328,                0.59505,                0.80317,                0.71717,                0.54438,                 1.0053,                 1.3827,                 1.0733,              0.0014951,              0.0014951,              0.0014951
                     27,                 1.0539,                 1.1396,                 1.0301,                0.62178,                0.79855,                0.72937,                0.55261,                 1.0074,                  1.316,                 1.0723,              0.0014882,              0.0014882,              0.0014882
                     28,                 1.0267,                 1.0522,                 1.0434,                0.66202,                0.81237,                0.78026,                0.59965,                0.95735,                 1.1116,                 1.0351,              0.0014813,              0.0014813,              0.0014813
                     29,                 0.9815,                 1.0635,                0.99743,                0.78008,                 0.8415,                0.85137,                0.65637,                0.92745,                0.84129,                 1.0014,              0.0014745,              0.0014745,              0.0014745
                     30,                 1.0589,                 1.1302,                0.98342,                0.72826,                0.84278,                 0.8311,                0.64378,                0.94586,                0.92006,                 1.0139,              0.0014676,              0.0014676,              0.0014676
                     31,                0.99822,                 1.0171,                 1.0057,                0.72652,                0.81986,                 0.8218,                0.63776,                0.95163,                0.93077,                 1.0143,              0.0014607,              0.0014607,              0.0014607
                     32,                 1.0686,                 1.0605,                 1.0607,                0.77532,                 0.8215,                0.83811,                0.65809,                0.92389,                0.86731,                0.99666,              0.0014538,              0.0014538,              0.0014538
                     33,                 1.0016,                0.98957,                 1.0032,                0.81868,                0.84865,                 0.8523,                0.66854,                0.92676,                0.82687,                 1.0023,               0.001447,               0.001447,               0.001447
                     34,                 1.0196,                 0.9624,                0.99786,                0.81108,                0.85288,                 0.8488,                0.65313,                0.95959,                0.83165,                 1.0341,              0.0014401,              0.0014401,              0.0014401
                     35,                 1.0296,                0.94468,                 1.0083,                0.80586,                0.84995,                0.84743,                0.65773,                 0.9326,                0.83369,                 1.0184,              0.0014332,              0.0014332,              0.0014332
                     36,                0.97903,                0.90247,                 1.0157,                0.79911,                0.83113,                0.83481,                0.64338,                0.94238,                0.88066,                 1.0236,              0.0014263,              0.0014263,              0.0014263
                     37,                 1.0165,                0.94254,                 1.0166,                0.80952,                0.83455,                0.84486,                0.65457,                 0.9195,                 0.8613,                 1.0245,              0.0014195,              0.0014195,              0.0014195
                     38,                 1.0798,                0.97413,                 1.0168,                0.81499,                0.82286,                0.84207,                 0.6596,                0.90693,                0.83746,                 1.0145,              0.0014126,              0.0014126,              0.0014126
                     39,                 1.0526,                 0.9647,                 1.0242,                0.78008,                0.78215,                0.80519,                0.62749,                0.92148,                0.92641,                 1.0202,              0.0014057,              0.0014057,              0.0014057
                     40,                0.98004,                0.99125,                 1.0039,                0.70814,                0.83323,                0.78995,                0.61761,                0.92161,                0.97905,                 1.0113,              0.0013988,              0.0013988,              0.0013988
                     41,                0.97465,                0.94445,                0.97663,                0.68566,                0.81789,                0.75742,                0.58856,                0.94445,                 1.0519,                 1.0018,              0.0013919,              0.0013919,              0.0013919
