                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85223,                0.60321,                 1.0278,                0.90884,                0.90897,                0.93565,                0.75875,                0.85065,                0.48191,                  1.049,             0.00015003,             0.00015003,             0.00015003
                      2,                0.85419,                0.53089,                 1.0004,                0.88649,                 0.9064,                0.92366,                0.74255,                0.86694,                 0.5304,                 1.0608,             0.00030105,             0.00030105,             0.00030105
                      3,                0.91815,                0.67619,                 1.0377,                0.87695,                0.88199,                0.90358,                0.73067,                0.86406,                0.55331,                 1.0652,             0.00043557,             0.00043557,             0.00043557
                      4,                0.90743,                0.63513,                 1.0276,                 0.8793,                0.91318,                0.91222,                0.74495,                0.84869,                0.55993,                 1.0584,             0.00055359,             0.00055359,             0.00055359
                      5,                0.93331,                0.58984,                 1.0402,                0.86941,                0.89993,                0.92483,                0.74424,                0.88488,                0.61482,                  1.081,              0.0006551,              0.0006551,              0.0006551
                      6,                0.88628,                0.57999,                 1.0224,                0.89016,                0.91176,                0.92654,                0.75311,                0.86817,                0.53594,                 1.0743,             0.00074011,             0.00074011,             0.00074011
                      7,                0.92059,                 0.6631,                 1.1046,                0.89798,                0.90865,                0.92931,                0.75594,                0.86765,                0.53559,                 1.0748,             0.00080861,             0.00080861,             0.00080861
                      8,                0.90958,                0.58524,                  1.042,                0.88657,                0.90299,                0.92576,                0.75224,                0.85559,                0.53843,                 1.0622,             0.00086061,             0.00086061,             0.00086061
                      9,                0.88127,                0.57833,                 1.0052,                0.87577,                0.90168,                 0.9299,                0.75557,                0.85486,                0.52118,                 1.0584,             0.00089611,             0.00089611,             0.00089611
                     10,                0.85836,                0.60364,                 1.0408,                0.88804,                0.90702,                0.93403,                 0.7622,                0.83753,                0.52736,                 1.0532,             0.00091511,             0.00091511,             0.00091511
                     11,                 0.8984,                0.65302,                 1.0874,                  0.854,                0.86768,                0.89792,                0.73141,                0.84918,                0.61509,                  1.063,             0.00084184,             0.00084184,             0.00084184
                     12,                0.92373,                0.67115,                 1.0515,                0.87639,                0.89131,                0.92406,                0.75166,                0.85532,                0.55941,                 1.0597,             0.00075932,             0.00075932,             0.00075932
                     13,                0.84962,                0.55536,                 1.0226,                 0.8785,                0.89016,                0.92903,                0.75735,                0.84789,                0.52256,                 1.0543,              0.0006768,              0.0006768,              0.0006768
                     14,                0.86074,                0.54303,                 1.0311,                0.87855,                0.88706,                0.93108,                0.76082,                0.84155,                0.51735,                 1.0551,             0.00059429,             0.00059429,             0.00059429
                     15,                0.89341,                0.64792,                 1.0898,                 0.9048,                0.90438,                 0.9347,                0.76642,                0.82521,                0.49307,                 1.0446,             0.00051177,             0.00051177,             0.00051177
                     16,                0.83237,                0.52002,                 1.0128,                0.91317,                 0.9119,                0.94087,                0.76898,                0.82748,                0.48954,                  1.044,             0.00042925,             0.00042925,             0.00042925
                     17,                0.92623,                0.61351,                 1.1465,                0.91776,                   0.91,                0.94346,                0.76943,                0.83364,                0.47373,                 1.0447,             0.00034674,             0.00034674,             0.00034674
                     18,                0.80441,                 0.4857,                 1.0107,                0.91365,                0.90467,                0.93905,                0.76877,                0.82475,                0.46973,                 1.0399,             0.00026422,             0.00026422,             0.00026422
                     19,                0.89936,                0.60005,                 1.1091,                0.91833,                0.91417,                0.94283,                0.77399,                0.82238,                0.45514,                 1.0397,              0.0001817,              0.0001817,              0.0001817
                     20,                0.82349,                0.52104,                 1.0071,                0.92332,                0.91516,                0.94515,                0.77714,                0.81801,                0.44529,                 1.0375,             9.9187e-05,             9.9187e-05,             9.9187e-05
