                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8414,                0.57137,                  1.024,                0.91524,                0.90375,                0.94109,                0.77318,                0.81296,                0.48908,                 1.0358,             0.00015003,             0.00015003,             0.00015003
                      2,                0.82279,                0.49064,                0.98816,                 0.8817,                0.87806,                0.91692,                0.71964,                0.93152,                0.62675,                 1.0953,             0.00030105,             0.00030105,             0.00030105
                      3,                0.88309,                  0.577,                 1.0244,                0.88532,                0.90489,                0.93177,                0.75358,                 0.8647,                0.53372,                 1.0683,             0.00043557,             0.00043557,             0.00043557
                      4,                0.87596,                0.58707,                 1.0177,                0.87746,                0.89045,                0.89266,                0.72841,                0.85932,                 0.5949,                 1.0798,             0.00055359,             0.00055359,             0.00055359
                      5,                0.90266,                0.56299,                 1.0277,                0.88112,                0.90889,                0.92746,                0.74318,                0.86971,                0.56208,                 1.0719,              0.0006551,              0.0006551,              0.0006551
                      6,                0.85985,                0.54001,                 1.0098,                0.90063,                0.90809,                0.93373,                0.76631,                0.82625,                0.50221,                 1.0547,             0.00074011,             0.00074011,             0.00074011
                      7,                0.89281,                0.56764,                 1.0877,                0.90761,                0.90061,                0.93341,                 0.7606,                0.84806,                0.50073,                 1.0636,             0.00080861,             0.00080861,             0.00080861
                      8,                0.89185,                0.53636,                 1.0309,                0.89915,                0.89659,                0.92795,                 0.7545,                0.83587,                 0.5214,                 1.0484,             0.00086061,             0.00086061,             0.00086061
                      9,                0.85619,                0.53414,                0.99296,                0.89304,                0.90816,                0.93185,                0.76078,                0.83038,                0.51001,                  1.044,             0.00089611,             0.00089611,             0.00089611
                     10,                0.84534,                0.56032,                 1.0272,                0.90522,                0.90607,                0.94202,                0.76368,                0.85025,                 0.4916,                 1.0523,             0.00091511,             0.00091511,             0.00091511
                     11,                0.87875,                0.60845,                 1.0776,                 0.9067,                0.90382,                0.94153,                0.76469,                0.83308,                0.50147,                 1.0445,             0.00084184,             0.00084184,             0.00084184
                     12,                0.90446,                0.55789,                 1.0386,                0.83498,                0.85186,                 0.9216,                0.74655,                0.86899,                0.60929,                 1.0724,             0.00075932,             0.00075932,             0.00075932
                     13,                0.83387,                0.50169,                 1.0113,                0.72276,                0.81454,                0.89956,                0.72383,                0.90459,                0.76559,                   1.11,              0.0006768,              0.0006768,              0.0006768
                     14,                0.83763,                0.50495,                  1.021,                0.92452,                0.91588,                0.94919,                0.77203,                0.83968,                0.46023,                 1.0527,             0.00059429,             0.00059429,             0.00059429
                     15,                0.87871,                0.60532,                 1.0783,                 0.9383,                0.91846,                0.95266,                0.77594,                0.82994,                0.44071,                 1.0435,             0.00051177,             0.00051177,             0.00051177
                     16,                0.82868,                0.47502,                 1.0068,                0.94074,                0.91739,                0.95513,                0.77777,                0.82399,                0.42933,                 1.0408,             0.00042925,             0.00042925,             0.00042925
                     17,                0.91673,                0.59417,                 1.1435,                0.93445,                0.92049,                0.95654,                 0.7788,                0.82252,                0.42756,                 1.0394,             0.00034674,             0.00034674,             0.00034674
                     18,                0.79486,                0.45791,                 1.0034,                0.94345,                0.92309,                0.96005,                0.78625,                0.81665,                0.41062,                 1.0379,             0.00026422,             0.00026422,             0.00026422
                     19,                0.88816,                0.55929,                 1.1062,                0.94781,                0.92193,                0.96019,                0.78962,                0.80889,                0.40536,                 1.0333,              0.0001817,              0.0001817,              0.0001817
                     20,                0.81372,                0.48881,                 1.0012,                0.95216,                0.92055,                0.96043,                 0.7915,                0.80147,                  0.401,                 1.0289,             9.9187e-05,             9.9187e-05,             9.9187e-05
