                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.478,                 2.9023,                 1.4396,                0.40981,                0.70444,                0.41158,                0.30904,                 1.0431,                    inf,                 1.2154,             0.00030006,             0.00030006,             0.00030006
                      2,                 1.1316,                  1.249,                 1.1664,                0.62786,                0.44748,                0.40444,                0.30546,                 1.1084,                    inf,                 1.2471,             0.00060152,             0.00060152,             0.00060152
                      3,                 1.1433,                 1.1299,                 1.1879,                  0.518,                0.87173,                0.68694,                0.52544,                 1.0973,                 1.7501,                 1.2288,             0.00088731,             0.00088731,             0.00088731
                      4,                 1.2026,                 1.1003,                 1.2071,                0.44344,                0.64858,                0.38235,                0.27205,                 1.3999,                 4.1617,                   1.37,              0.0011574,              0.0011574,              0.0011574
                      5,                 1.1297,                 1.0681,                  1.198,                0.35217,                  0.571,                0.29254,                0.20359,                 1.3291,                    inf,                 1.4021,              0.0014118,              0.0014118,              0.0014118
                      6,                 1.1219,                   1.06,                 1.1616,                0.65802,                0.73668,                 0.6688,                0.49465,                 1.1706,                 1.4676,                 1.2938,              0.0014607,              0.0014607,              0.0014607
                      7,                  1.109,                 1.0411,                 1.1941,                0.61285,                0.74512,                0.59732,                0.43293,                 1.2848,                 2.1037,                  1.366,              0.0014195,              0.0014195,              0.0014195
                      8,                 1.0592,                0.92392,                 1.1542,                 0.1457,                0.24419,                0.09094,                0.06003,                 2.5962,                    inf,                 2.6896,              0.0013782,              0.0013782,              0.0013782
                      9,                  1.173,                 1.0749,                 1.2297,                0.29233,                 0.3827,                0.21848,                0.17655,                 1.8337,                  3.185,                 1.9061,              0.0013369,              0.0013369,              0.0013369
                     10,                 1.0945,                0.96437,                 1.1389,                 0.4308,                0.52469,                0.36994,                0.28949,                 1.4012,                 2.0005,                 1.4124,              0.0012957,              0.0012957,              0.0012957
                     11,                 1.0836,                0.94783,                 1.1463,                0.47572,                0.60223,                0.38937,                0.29926,                 1.1564,                  1.437,                 1.2582,              0.0012544,              0.0012544,              0.0012544
                     12,                 1.0264,                0.88975,                  1.121,                 0.3657,                0.51713,                0.36807,                0.25483,                 1.3106,                 1.6026,                 1.2779,              0.0012132,              0.0012132,              0.0012132
                     13,                 1.0553,                 0.8503,                 1.1107,                0.75423,                   0.84,                 0.8376,                0.64863,                0.97105,                0.79139,                   1.15,              0.0011719,              0.0011719,              0.0011719
                     14,                 1.0165,                0.90804,                 1.1417,                0.69149,                0.65338,                0.66797,                0.50256,                 1.0945,                 1.1065,                 1.2142,              0.0011306,              0.0011306,              0.0011306
                     15,                 1.0573,                0.95949,                 1.1594,                0.77908,                0.80747,                0.80525,                0.62578,                 1.0495,                0.85496,                 1.1919,              0.0010894,              0.0010894,              0.0010894
                     16,                0.99746,                0.90314,                 1.0824,                0.78558,                0.82372,                0.84487,                0.66117,                0.98178,                 0.7811,                 1.1638,              0.0010481,              0.0010481,              0.0010481
                     17,                  1.021,                0.83054,                 1.1675,                0.80432,                  0.824,                0.85716,                0.67292,                0.94914,                 0.7416,                 1.1426,              0.0010069,              0.0010069,              0.0010069
                     18,                0.97215,                0.80319,                 1.1136,                0.79899,                 0.8574,                0.86595,                0.67931,                0.94271,                0.73058,                 1.1279,             0.00096561,             0.00096561,             0.00096561
                     19,                 0.9721,                0.79591,                 1.1069,                0.74214,                0.84403,                0.86096,                0.67355,                0.96457,                0.77823,                  1.146,             0.00092435,             0.00092435,             0.00092435
                     20,                0.95747,                 0.7661,                 1.0899,                0.65853,                0.81425,                0.84102,                0.65539,                 1.0134,                0.94709,                 1.1942,             0.00088309,             0.00088309,             0.00088309
                     21,                0.93661,                0.75575,                 1.0641,                0.77982,                0.84002,                0.86474,                0.68044,                0.96094,                0.73894,                 1.1487,             0.00084184,             0.00084184,             0.00084184
                     22,                0.93556,                0.73738,                 1.0461,                0.71724,                0.80325,                0.84717,                0.65627,                 1.0234,                0.90717,                 1.1931,             0.00080058,             0.00080058,             0.00080058
                     23,                0.97554,                0.74922,                 1.0813,                0.54541,                0.89699,                0.77399,                0.59708,                 1.0507,                 1.2053,                 1.2169,             0.00075932,             0.00075932,             0.00075932
                     24,                0.99295,                 0.7722,                 1.1233,                0.84116,                0.86891,                 0.8801,                0.70159,                0.94145,                0.65289,                 1.1281,             0.00071806,             0.00071806,             0.00071806
                     25,                0.94489,                0.73503,                 1.0999,                0.84478,                0.87413,                0.88038,                0.70127,                0.94923,                0.64995,                 1.1287,              0.0006768,              0.0006768,              0.0006768
                     26,                0.92775,                0.71377,                 1.0478,                0.86304,                0.86847,                0.88483,                0.71528,                 0.9123,                 0.6371,                 1.1153,             0.00063554,             0.00063554,             0.00063554
                     27,                0.95713,                0.75936,                    1.1,                0.86742,                0.86609,                0.88394,                0.71103,                0.92815,                0.65051,                  1.126,             0.00059429,             0.00059429,             0.00059429
                     28,                0.94352,                0.74748,                 1.0851,                 0.8627,                0.87155,                0.88599,                0.71087,                0.92694,                0.65714,                 1.1232,             0.00055303,             0.00055303,             0.00055303
                     29,                0.92839,                0.70557,                 1.0501,                0.84634,                0.88509,                0.89405,                0.72156,                0.89961,                0.64332,                 1.1117,             0.00051177,             0.00051177,             0.00051177
                     30,                0.93739,                0.69064,                 1.0623,                0.84004,                0.88264,                0.89659,                0.72505,                0.89601,                0.63045,                 1.1076,             0.00047051,             0.00047051,             0.00047051
                     31,                0.92304,                0.77773,                 1.0863,                0.84102,                0.87894,                0.89806,                0.72287,                0.89999,                0.62413,                 1.1024,             0.00042925,             0.00042925,             0.00042925
                     32,                0.92773,                0.76022,                 1.1122,                0.85478,                0.87698,                0.89787,                0.71811,                0.90976,                0.62869,                 1.1038,             0.00038799,             0.00038799,             0.00038799
                     33,                0.91571,                0.72421,                 1.0388,                0.85753,                0.87616,                0.89947,                0.71772,                0.91644,                0.63424,                 1.1078,             0.00034674,             0.00034674,             0.00034674
                     34,                0.95802,                0.78746,                 1.1381,                0.81951,                0.87196,                0.84567,                0.68073,                0.91452,                0.64333,                 1.1081,             0.00030548,             0.00030548,             0.00030548
                     35,                0.90502,                0.66747,                 1.0792,                0.82554,                0.88182,                 0.8537,                0.69335,                0.90451,                0.63874,                 1.1011,             0.00026422,             0.00026422,             0.00026422
                     36,                0.92131,                0.74278,                 1.0987,                0.81242,                0.88244,                0.83174,                0.67504,                0.89946,                0.64849,                 1.0992,             0.00022296,             0.00022296,             0.00022296
                     37,                0.90824,                0.72207,                 1.0623,                0.83919,                0.88907,                0.88113,                0.72072,                0.89605,                0.63149,                 1.0958,              0.0001817,              0.0001817,              0.0001817
                     38,                0.87894,                0.64976,                 1.0649,                 0.8337,                 0.8861,                 0.8515,                0.69718,                0.89473,                0.63064,                 1.0947,             0.00014044,             0.00014044,             0.00014044
                     39,                0.86439,                0.63449,                 1.0388,                0.83086,                0.88576,                0.84631,                0.69272,                0.89335,                0.62666,                 1.0947,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     40,                0.88755,                0.63895,                 1.0603,                0.86515,                0.88816,                0.89901,                0.73563,                0.89181,                 0.5953,                 1.0925,             5.7928e-05,             5.7928e-05,             5.7928e-05
