                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1107,                 1.3938,                 1.0426,                0.78784,                0.82766,                0.78631,                0.57754,                0.88233,                 1.0816,                0.90404,             0.00054477,             0.00054477,             0.00054477
                      2,                 0.9863,                0.95084,                0.98235,                0.67359,                0.86588,                0.87078,                0.69061,                0.73893,                 1.1304,                0.87177,              0.0010959,              0.0010959,              0.0010959
                      3,                0.97313,                0.89782,                0.97656,                0.82266,                0.80913,                0.88626,                0.73545,                0.69543,                0.79455,                0.88682,              0.0016424,              0.0016424,              0.0016424
                      4,                0.87225,                0.78137,                 0.9428,                0.79432,                0.91331,                0.91179,                0.76118,                0.64002,                0.68939,                0.86272,              0.0016464,              0.0016464,              0.0016464
                      5,                0.90412,                0.76096,                  0.962,                0.79256,                0.86978,                0.92297,                0.77092,                0.67557,                 0.7071,                0.87933,              0.0016395,              0.0016395,              0.0016395
                      6,                0.85185,                0.70632,                0.94474,                0.86887,                0.90069,                0.94963,                0.79726,                0.63599,                0.59495,                0.85983,              0.0016326,              0.0016326,              0.0016326
                      7,                0.81481,                0.70034,                 0.9323,                0.77665,                0.90222,                0.93857,                0.79248,                0.62058,                0.63104,                0.85131,              0.0016257,              0.0016257,              0.0016257
                      8,                0.81893,                0.65557,                0.93281,                0.79442,                0.88902,                0.92422,                0.78586,                0.62243,                0.62758,                 0.8537,              0.0016189,              0.0016189,              0.0016189
                      9,                0.78135,                0.65688,                0.91941,                0.82016,                0.89548,                0.93691,                0.80598,                0.59499,                0.61552,                0.85459,               0.001612,               0.001612,               0.001612
                     10,                0.77242,                0.61061,                0.91646,                0.85014,                0.90368,                0.93691,                0.81048,                0.57129,                0.55455,                0.85252,              0.0016051,              0.0016051,              0.0016051
